Basiswert;WKN;S;Typ;F�lligkeitstag;Basispreis;Geldkurs;Briefkurs;Delta;Omega;
DAX;TD61KS;S;Put;19.04.17;9200,00;n/a;n/a;-0,00;-0,01;
Deutsche Bank;TD7RFB;;Call;19.04.17;19,6352;0,002;0,018;-0,00;-0,00;
DAX;TD7KLJ;;Put;19.04.17;11400,00;0,037;0,057;-0,02;-45,76;
DAX;TD7KLN;;Put;19.04.17;11600,00;0,064;0,084;-0,05;-72,95;
DAX;TD7KL3;;Put;19.04.17;10150,00;0,015;0,035;-0,00;-0,92;
DAX;TD7KLL;;Put;19.04.17;11500,00;0,047;0,067;-0,03;-59,57;
DAX;TD7KLH;;Put;19.04.17;11350,00;0,034;0,054;-0,02;-39,84;
DAX;TD61KB;S;Put;19.04.17;10700,00;n/a;n/a;-0,00;-11,13;
DAX;TD7KLG;;Put;19.04.17;11300,00;0,012;0,032;-0,01;-52,95;
DAX;TD61KR;S;Put;19.04.17;9300,00;n/a;n/a;-0,00;-0,01;
DAX;TD61KJ;S;Put;19.04.17;10000,00;n/a;n/a;-0,00;-0,49;
DAX;TD61E1;S;Call;19.04.17;10700,00;n/a;n/a;1,00;8,66;
DAX;TD61L1;S;Put;19.04.17;8300,00;n/a;n/a;-0,00;-0,00;
DAX;TD61KU;S;Put;19.04.17;9000,00;n/a;n/a;-0,00;-0,00;
DAX;TD61KM;S;Put;19.04.17;9700,00;n/a;n/a;-0,00;-0,10;
DAX;TD61L4;S;Put;19.04.17;8000,00;n/a;n/a;0,00;0,00;
DAX;TD61L3;S;Put;19.04.17;8100,00;n/a;n/a;0,00;0,00;
DAX;TD61KP;S;Put;19.04.17;9500,00;n/a;n/a;-0,00;-0,05;
DAX;TD7KL7;;Put;19.04.17;10550,00;0,026;0,046;-0,00;-3,28;
DAX;TD61DP;S;Call;19.04.17;11900,00;n/a;n/a;0,79;44,58;
Deutsche Bank;TD7RLJ;;Put;19.04.17;14,2801;0,005;0,021;-0,08;-6,01;
DAX;TD61E0;S;Call;19.04.17;10800,00;n/a;n/a;1,00;9,32;
DAX;TD61DZ;S;Call;19.04.17;10900,00;n/a;n/a;1,00;10,10;
DAX;TD61DV;S;Call;19.04.17;11300,00;n/a;n/a;0,99;15,06;
DAX;TD61DH;S;Call;19.04.17;13000,00;n/a;n/a;0,00;7,20;
DAX;TD61DQ;S;Call;19.04.17;11800,00;n/a;n/a;0,87;34,59;
DAX;TD7KL2;;Put;19.04.17;10050,00;0,015;0,035;-0,00;-0,61;
DAX;TD7KLC;;Put;19.04.17;11050,00;0,029;0,049;-0,01;-13,31;
DAX;TD61E6;S;Call;19.04.17;10200,00;n/a;n/a;1,00;6,38;
DAX;TD7KLP;;Put;19.04.17;11650,00;0,072;0,092;-0,06;-83,05;
DAX;TD7KL6;;Put;19.04.17;10450,00;0,02;0,04;-0,00;-2,62;
Deutsche Bank;TD7RLK;;Put;19.04.17;16,0651;0,12;0,14;-0,95;-11,38;
DAX;TD61E5;S;Call;19.04.17;10300,00;n/a;n/a;1,00;6,74;
DAX;TD7KLM;;Put;19.04.17;11550,00;0,055;0,075;-0,04;-65,74;
DAX;TD61E8;S;Call;19.04.17;10000,00;n/a;n/a;1,00;5,77;
DAX;TD61DS;S;Call;19.04.17;11600,00;n/a;n/a;0,95;23,12;
DAX;TD61E3;S;Call;19.04.17;10500,00;n/a;n/a;1,00;7,58;
Deutsche Bank;TD7RF9;;Call;19.04.17;16,9576;0,002;0,018;0,00;0,09;
DAX;TD61KW;S;Put;19.04.17;8800,00;n/a;n/a;-0,00;-0,00;
DAX;TD61L2;S;Put;19.04.17;8200,00;n/a;n/a;0,00;0,00;
DAX;TD61K8;S;Put;19.04.17;11000,00;n/a;n/a;-0,00;-25,14;
DAX;TD61K9;S;Put;19.04.17;10900,00;n/a;n/a;-0,00;-11,73;
DAX;TD61KX;S;Put;19.04.17;8700,00;n/a;n/a;-0,00;-0,00;
DAX;TD7KLQ;;Put;19.04.17;11700,00;0,079;0,099;-0,08;-96,87;
DAX;TD61KQ;S;Put;19.04.17;9400,00;n/a;n/a;-0,00;-0,02;
DAX;TD61KK;S;Put;19.04.17;9900,00;n/a;n/a;-0,00;-0,31;
